DataSet,Name,Category,Method,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
dict,Set,combine,union,2.9983469219573046e-2,2.971332800130329e-2,3.0324951537405907e-2,6.67114240728232e-4,5.330921328484538e-4,8.946915274957842e-4
dict,Set,combine,intersection,2.4811191295617513e-2,2.468164578902534e-2,2.4945315100048094e-2,3.081362008681442e-4,2.4727013937520095e-4,4.069728962544689e-4
dict,Set,combine,difference,2.8804424495849842e-2,2.862387277648654e-2,2.9258580112392102e-2,6.076066119893905e-4,2.1820217171022625e-4,1.0222951639141554e-3
dict,Set,combine,append,0.15582423599822556,0.1517532846902665,0.16099711073654369,6.791486278049723e-3,4.8567163722040025e-3,9.455405794429585e-3
dict,Set,combine,prefixes,0.6383832587841122,0.6312598187359981,0.6447201499831863,8.759506437746922e-3,3.4316085189919823e-3,1.1202814839451165e-2
dict,Set,combine,suffixes,1.0813331129441697,1.0559658269557985,1.1012309589229212,2.75572041126205e-2,1.093888001923915e-2,3.800160544112803e-2
dict,Set,combine,reverse,0.3263996600064759,0.3175841990392655,0.3332619641674682,1.0199790332042755e-2,4.421974596001624e-3,1.4311776019974196e-2
URI,ADFA,construction,fromList,0.19177837311290205,0.17647103171847345,0.20969868759534116,2.3762734763053708e-2,1.6203007587910587e-2,3.2121696790473754e-2
URI,ADFA,construction,fromAscList,0.25399476518194813,0.23413681091430286,0.26392663722120535,1.9061291659485467e-2,1.154315262463861e-2,2.618227725268864e-2
URI,ADFA,query,isEmpty,2.210828915532102e-6,2.1339406859183774e-6,2.3229897171593797e-6,3.2041310088160694e-7,2.301076487874171e-7,4.48643324082748e-7
URI,ADFA,query,stringCount,9.683022734377393e-2,9.19026250548158e-2,0.101400937327007,7.7787962701445145e-3,6.588963424904157e-3,9.906805155158564e-3
URI,ADFA,query,enumerate10,2.9105674161653443e-6,2.864864187607261e-6,3.1032684479883392e-6,2.6100122786447153e-7,9.7602164835377e-8,5.526265103841175e-7
URI,ADFA,query,member,6.959313722959905e-5,6.85173137106488e-5,7.3192988719048e-5,6.208447311809993e-6,2.9889773167573732e-6,1.19075242517252e-5
URI,ADFA,query,eqv1,1.1475865557804354,1.1401979170914274,1.1654476819967385,1.2091238144435159e-2,6.634014134760946e-4,1.4960973549707369e-2
URI,ADFA,query,eqv2,1.1198954098654212,1.076309260679409,1.137621616202523,3.044637814336349e-2,9.025899140397087e-3,4.09369200017462e-2
URI,ADFA,query,eqv3,0.8039286464287821,0.7523018890060484,0.8368554277694784,4.462034809787161e-2,1.483926599030383e-2,5.550395439817839e-2
URI,ADFA,optimize,minify,2.7935351158254584,2.687642150754982,2.896102208236698,0.12166773597817918,0.10510999167577816,0.1254227006654075
URI,ADFA,optimize,topSort,0.34291567629406927,0.322396701463731,0.3596407787917997,2.0382001509382425e-2,1.3091307977447286e-2,2.387811321965586e-2
URI,ADFA,optimize,topSort',0.43120507679122966,0.40518858400173485,0.4413549401651835,1.7841039740167423e-2,4.377611912786961e-3,2.344010540476071e-2
URI,ADFA,optimize,prune,0.38522315081597,0.3643948412500322,0.40605146038190776,2.595958905406438e-2,1.3956798945936426e-3,3.1622224259902174e-2
URI,ADFA,optimize,prune',0.36690504821308423,0.329862616606988,0.3937351452477742,3.837698016015065e-2,2.042466914281249e-2,5.360979082066254e-2
URI,ADFA,combine,union,1.5378668311677757,1.5187545729786507,1.5533901324379258,2.0597961291914744e-2,8.28834097312045e-3,2.7926858296913035e-2
URI,ADFA,combine,intersection,0.5007042406577966,0.4904676664737053,0.5155283687563497,1.4006376087483972e-2,8.249047871378094e-4,1.7529881089971097e-2
URI,ADFA,combine,difference,0.9629405324012623,0.9384274123294745,0.9814790433229064,2.3556384012654773e-2,1.1785952665377408e-2,2.839957440251349e-2
URI,ADFA,combine,symdiff,1.5397676512390415,1.50659665899002,1.5707439765101299,4.108871127131558e-2,1.747882721732219e-2,5.1353947736993595e-2
URI,ADFA,combine,append,0.17671874993089526,0.17126162401075812,0.18303876129433602,8.90845571680494e-3,5.62157606346115e-3,1.4871721054703836e-2
URI,ADFA,combine,prefixes,6.907885863734516e-2,6.516769212172252e-2,7.28228576632027e-2,6.276689777078827e-3,4.3770862049386855e-3,8.719165826791442e-3
